"recipe","Source","Page","Type","Cuisine","diet","Ingredients","makeability","Needed"
"Japanese sesame seed dressing","Salt, Fat, Acid, Heat",251,"dressing","asian","Vegan","<span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>sesame oil</span>, <span style='color: #458B00;'>mirin</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>tahini</span>",1,0
"tahini dressing","Salt, Fat, Acid, Heat",251,"dressing","middle eastern","Vegan","<span style='color: #458B00;'>cumin seed</span>, <span style='color: #458B00;'>tahini</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>cayenne pepper</span>",1,0
"green goddess dressing","Salt, Fat, Acid, Heat",250,"dressing","western","Non-vegetarian","<span style='color: orange;'>chervil</span> or <span style='color: #458B00;'>anchovies</span>, <span style='color: #CD2626;'>avocado</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>red wine vinegar</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>parsley</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: orange;'>chives</span>, <span style='color: #CD2626;'>tarragon</span>, <span style='color: #458B00;'>mayonnaise</span>",5,4
"blue cheese dressing","Salt, Fat, Acid, Heat",249,"dressing","western","Vegetarian","<span style='color: #458B00;'>creme fraiche</span> or <span style='color: #458B00;'>sour cream</span> or <span style='color: #458B00;'>heavy cream</span>, <span style='color: #CD2626;'>blue cheese</span>, <span style='color: #458B00;'>red wine vinegar</span>, <span style='color: #458B00;'>garlic</span>",5,1
"ceramy herb dressing","Salt, Fat, Acid, Heat",248,"dressing","western","Vegetarian","<span style='color: #458B00;'>creme fraiche</span> or <span style='color: #458B00;'>sour cream</span> or <span style='color: #458B00;'>heavy cream</span> or <span style='color: #458B00;'>yogurt</span>, <span style='color: #458B00;'>parsley</span> or <span style='color: #458B00;'>cilantro</span> or <span style='color: #458B00;'>dill</span> or <span style='color: orange;'>chives</span> or <span style='color: orange;'>basil</span> or <span style='color: #CD2626;'>tarragon</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>red wine vinegar</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>sugar</span>",1,0
"creamy caesar dressing","Salt, Fat, Acid, Heat",247,"dressing","western","Non-vegetarian","<span style='color: #458B00;'>anchovies</span>, <span style='color: #458B00;'>mayonnaise</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>white wine vinegar</span>, <span style='color: #458B00;'>parmesan</span>, <span style='color: #458B00;'>worcestershire sauce</span>",1,0
"orange vinaigrette","Salt, Fat, Acid, Heat",244,"dressing","western","Vegan","<span style='color: #458B00;'>orange</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>white wine vinegar</span>, <span style='color: #458B00;'>olive oil</span>",1,0
"lime vinaigrette","Salt, Fat, Acid, Heat",243,"dressing","western","Vegan","<span style='color: #CD2626;'>jalapeno</span> or <span style='color: #458B00;'>lime</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>garlic</span>",1,0
"brown butter vinaigrette","Anylist",241,"dressing","western","Vegetarian","<span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>balsamic vinegar</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>red wine vinegar</span>",1,0
"parmesean vinaigrette","Salt, Fat, Acid, Heat",241,"dressing","western","Vegetarian","<span style='color: #458B00;'>balsamic vinegar</span>, <span style='color: #458B00;'>red wine vinegar</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>parmesan</span>",1,0
"balsamic vinaigrette","Salt, Fat, Acid, Heat",241,"dressing","western","Vegan","<span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>balsamic vinegar</span>, <span style='color: #458B00;'>red wine vinegar</span>, <span style='color: #1C86EE;'>mild red wine olive oil vinaigrette</span>",4,1
"pasta with broccoli rabe and chorizo bread crumbs","nothing fancy",253,"meal","western","Non-vegetarian","<span style='color: #CD2626;'>chorizo</span> or <span style='color: #458B00;'>sweet italian sausage</span>, <span style='color: #CD2626;'>broccoli rabe</span> or <span style='color: #CD2626;'>kale</span>, <span style='color: #458B00;'>panko</span> or <span style='color: #458B00;'>crusty bread</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>pasta</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>tomato paste</span>, <span style='color: #458B00;'>parmesan</span>",5,2
"buttered slamon with red onion and dill","nothing fancy",247,"main","western","Non-vegetarian","<span style='color: #458B00;'>sesame seeds</span> or <span style='color: #458B00;'>lemon</span>, <span style='color: #CD2626;'>salmon</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>red onion</span>, <span style='color: #458B00;'>capers</span>, <span style='color: #458B00;'>dill</span>",5,1
"swordfish with crushed olives and oregano","nothing fancy",243,"main","","Non-vegetarian","<span style='color: #458B00;'>lemon</span> or <span style='color: #458B00;'>white wine vinegar</span>, <span style='color: #458B00;'>castlevetrano olives</span>, <span style='color: #458B00;'>oregano</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #CD2626;'>swordfish</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>parsley</span>",5,1
"citrus chicken rested in herbs","nothing fancy",214,"main","","Non-vegetarian","<span style='color: #CD2626;'>rosemary</span> or <span style='color: #CD2626;'>thyme</span> or <span style='color: #458B00;'>oregano</span> or <span style='color: #458B00;'>lemon</span> or <span style='color: #458B00;'>lime</span>, <span style='color: #458B00;'>orange</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #CD2626;'>jalapeno</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>whole chicken</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #458B00;'>parsley</span>",5,3
"kimchi braised pork with sesame","nothing fancy",212,"main","asian","Non-vegetarian","<span style='color: #CD2626;'>watercress</span> or <span style='color: #CD2626;'>radish</span> or <span style='color: #CD2626;'>granny smith apple</span> or <span style='color: #CD2626;'>pork shoulder</span> or <span style='color: #CD2626;'>baby back ribs</span>, <span style='color: #458B00;'>vegetable oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>gochujang</span>, <span style='color: #458B00;'>kimchi</span>, <span style='color: #458B00;'>scallions</span>",5,3
"one pot chicken with dates and caramelized lemon","nothing fancy",194,"main","","Non-vegetarian","<span style='color: #CD2626;'>thyme</span> or <span style='color: #458B00;'>oregano</span>, <span style='color: #CD2626;'>whole chicken</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #CD2626;'>dates</span>, <span style='color: #458B00;'>red pepper flakes</span>",5,3
"butchers steak with dried chiles and salted peanuts","nothing fancy",182,"main","latin","Non-vegetarian","<span style='color: #CD2626;'>watercress</span> or <span style='color: #CD2626;'>avocado</span> or <span style='color: #CD2626;'>hazelnuts</span> or <span style='color: #CD2626;'>dry roasted peanuts</span>, <span style='color: #458B00;'>apple cider vinegar</span> or <span style='color: #458B00;'>white vinegar</span>, <span style='color: #458B00;'>short ribs</span> or <span style='color: #458B00;'>flank steak</span> or <span style='color: #CD2626;'>hanger steak</span> or <span style='color: #CD2626;'>strip steak</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #CD2626;'>dried new mexico chile</span>, <span style='color: #CD2626;'>guajillo chile</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>lime</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #458B00;'>corn tortillas</span>",5,4
"buttered turmeric rice with crushed almonds and herbs","nothing fancy",173,"side","western","Vegetarian","<span style='color: orange;'>mint</span> or <span style='color: #458B00;'>dill</span> or <span style='color: #458B00;'>white rice</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>almonds</span>, <span style='color: #458B00;'>turmeric</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>cilantro</span>",1,0
"frizzled chickpeas and onions with feta and oregano","nothing fancy",168,"side","middle eastern","Vegetarian","<span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>canned chickpeas</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>red pepper flakes</span>, <span style='color: #458B00;'>oregano</span>, <span style='color: #458B00;'>feta</span>",1,0
"black lentiles with crispy garlic and labne","nothing fancy",167,"side","middle eastern","Vegetarian","<span style='color: #458B00;'>cilantro</span> or <span style='color: #458B00;'>parsley</span>, <span style='color: #458B00;'>greek yogurt</span> or <span style='color: #458B00;'>sour cream</span>, <span style='color: #CD2626;'>black lentils</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>lemon</span>",5,1
"farro with toasted fennel, lemon and basil","nothing fancy",164,"side","western","Vegan","<span style='color: #458B00;'>red pepper flakes</span> or <span style='color: #458B00;'>farro</span> or <span style='color: #458B00;'>barley</span> or <span style='color: #458B00;'>couscous</span> or <span style='color: orange;'>wheat berries</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>fennel seed</span>, <span style='color: #CD2626;'>fennel bulb</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: orange;'>basil</span>",5,2
"garlicky broccoli and greens with hazelnut and coriander","nothing fancy",160,"side","western","Vegan","<span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>hazelnuts</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #CD2626;'>broccoli</span>, <span style='color: #CD2626;'>kale</span>, <span style='color: #458B00;'>lemon</span>",5,3
"long roasted eggplant with garlic and croutons","nothing fancy",158,"side","western","Vegetarian","<span style='color: #458B00;'>greek yogurt</span> or <span style='color: #458B00;'>sour cream</span>, <span style='color: orange;'>mint</span> or <span style='color: #458B00;'>cilantro</span>, <span style='color: #CD2626;'>eggplant</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>red pepper flakes</span>, <span style='color: #458B00;'>crusty bread</span>, <span style='color: #458B00;'>preserved lemon</span>, <span style='color: #458B00;'>lemon</span>",5,2
"beets with buttermilk and walnuts","nothing fancy",155,"side","western","Vegetarian","<span style='color: #458B00;'>red wine vinegar</span> or <span style='color: #458B00;'>white wine vinegar</span>, <span style='color: #458B00;'>sour cream</span> or <span style='color: #458B00;'>greek yogurt</span>, <span style='color: #458B00;'>walnuts</span> or <span style='color: #458B00;'>pecans</span> or <span style='color: #CD2626;'>hazelnuts</span>, <span style='color: #458B00;'>beets</span>, <span style='color: #458B00;'>red onion</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>sumac</span>, <span style='color: #458B00;'>buttermilk</span>, <span style='color: #458B00;'>cumin seed</span>, <span style='color: #458B00;'>olive oil</span>",1,0
"creamy cauliflower and onion gratin","nothing fancy",151,"side","western","Vegetarian","<span style='color: #458B00;'>red pepper flakes</span> or <span style='color: #458B00;'>panko</span> or <span style='color: #CD2626;'>gruyere</span> or <span style='color: #458B00;'>white cheddar</span>, <span style='color: #458B00;'>heavy cream</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>cauliflower</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>sesame seeds</span>",1,0
"hard roasted spiced cauliflower","nothing fancy",150,"side","western","Vegetarian","<span style='color: #458B00;'>feta</span> or <span style='color: orange;'>chives</span> or <span style='color: orange;'>mint</span> or <span style='color: #458B00;'>parsley</span> or <span style='color: #458B00;'>cilantro</span>, <span style='color: #458B00;'>cauliflower</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>red pepper flakes</span>, <span style='color: #458B00;'>fennel seed</span>, <span style='color: #458B00;'>coriander</span>, <span style='color: #458B00;'>turmeric</span>, <span style='color: #458B00;'>olive oil</span>",1,0
"roasted squash with yogurt and spiced butter pistachios","nothing fancy",148,"side","western","Vegetarian","<span style='color: #CD2626;'>acorn squash</span> or <span style='color: #CD2626;'>kabocha squash</span> or <span style='color: #458B00;'>butternut squash</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>pistachios</span>, <span style='color: #458B00;'>cumin</span>, <span style='color: #458B00;'>turmeric</span>, <span style='color: #458B00;'>cinnamon</span>, <span style='color: #458B00;'>red pepper flakes</span>, <span style='color: #458B00;'>greek yogurt</span>, <span style='color: #458B00;'>lemon</span>",1,0
